character_name,book_id,book_name,cluster_label,prototype_name,avg_sentence_len,question_ratio,exclamation_ratio,slang_ratio,emotion_level,pca_x,pca_y
后的众人,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,2,睿智型,18.59,0.0118,0.0018,0.0,0.0054,-10.032409239005137,-0.005175955754050831
仿佛在,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,2,睿智型,16.37,0.0066,0.0022,0.0,0.0022,-12.252408657314163,-0.0053706664320752025
小绿珠子,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,2,睿智型,17.81,0.0029,0.002,0.001,0.0049,-10.81240833609601,-0.00539631654885979
还是,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,7,温柔型,22.49,0.0008,0.0016,0.0024,0.0024,-6.132408080575207,-0.005207613551703247
冲他,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,2,睿智型,21.96,0.008,0.0027,0.0009,0.0035,-6.662408993908894,-0.003935198703174428
他对系统,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,2,睿智型,15.66,0.018,0.0,0.001,0.002,-12.962409479970894,-0.0072788117128453796
常就继续,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,7,温柔型,25.91,0.0095,0.0,0.0048,0.0082,-2.712408921376962,-0.005812155973358563
些沙哑地,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,7,温柔型,23.4,0.0113,0.0,0.0016,0.0065,-5.222409026498369,-0.006216192338472838
自顾自地,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,7,温柔型,27.58,0.0173,0.0,0.0,0.0029,-1.042409623636619,-0.0054961680497277185
强地小声,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,2,睿智型,21.34,0.0066,0.0066,0.0008,0.0016,-7.2824093697116545,-0.00023061898353924498
一脸严肃,53cc6441c57f5741,反派：我收女徒弟多子多福就变强,7,温柔型,25.49,0.0007,0.0007,0.0022,0.0015,-3.13240796623122,-0.0056838228544907375
后拦住她,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,25.28,0.0007,0.0015,0.0015,0.0044,-3.342408147856567,-0.004850919584639073
小声,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,5,高冷型,39.73,0.0022,0.0022,0.0,0.0,11.107591462823184,-0.0020561274368187284
慰的语气,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.48,0.0042,0.0014,0.0,0.0,-2.1424084084048545,-0.004784433626879938
抖着双唇,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.5,0.0035,0.0,0.0,0.0,-2.122408131809461,-0.006203858224526324
便坦然,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,30.59,0.0025,0.0038,0.0006,0.0013,1.9675913160065583,-0.0017836089967783082
跟她,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,23.85,0.0039,0.0,0.002,0.0039,-4.77240821881896,-0.00646211019151003
苏玉婉,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.42,0.0047,0.0013,0.0,0.0013,-2.202408473852792,-0.0048428129467106345
义正言辞,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,24.3,0.0036,0.0029,0.0,0.0014,-4.32240856448243,-0.0035988700636689465
刻后起身,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,27.2,0.0025,0.0012,0.0037,0.005,-1.4224083312302724,-0.0047547425453795256
但还是,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,29.09,0.0041,0.0,0.0012,0.0012,0.46759173779113183,-0.005745878551554527
宁又继续,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,24.29,0.0056,0.0,0.0,0.0056,-4.332408439791646,-0.006321001260278577
气地抢先,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,32.69,0.0028,0.0017,0.0011,0.0017,4.067591550628993,-0.0035376758246338513
玉婉笑着,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,32.24,0.0052,0.0041,0.0012,0.0035,3.6175909192092313,-0.0010783839022495793
这才,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,29.58,0.0045,0.0,0.0006,0.0017,0.9575916771313366,-0.005653587794813923
露愧疚地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,29.59,0.0044,0.0022,0.0011,0.0011,0.9675913783408241,-0.003466429207470227
听苏玉婉,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,29.91,0.0023,0.0012,0.0,0.004,1.2875916662820472,-0.004428759483008693
苏玉婉反,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,33.24,0.004,0.0011,0.0,0.0034,4.6175914674355205,-0.003984277487099131
随即点头,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,23.2,0.0036,0.0,0.0007,0.0022,-5.4224081389920755,-0.006631690056947422
吞吐吐地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,2,睿智型,19.96,0.0105,0.0053,0.0,0.0,-8.662409517447905,-0.0016565347075969752
油加醋地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,22.32,0.0,0.0,0.0,0.0,-6.302407707037233,-0.0069531575009654355
冷声质,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,24.0,0.0078,0.0039,0.0039,0.0,-4.622409100092412,-0.0024855345191006056
苏玉婉又,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,31.79,0.0046,0.0017,0.0011,0.0046,3.1675913145185532,-0.0035372186759208358
罗三娘,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,24.8,0.0115,0.0058,0.0038,0.0038,-3.822409857413099,-0.0002441471880898615
于是,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,32.27,0.0027,0.0054,0.0,0.0054,3.64759093807994,0.00017249426458686677
继而,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,5,高冷型,38.5,0.0063,0.0031,0.0,0.0,9.877590932620183,-0.0012027697362304648
婉轻笑着,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,27.59,0.0058,0.0029,0.0029,0.0017,-1.0324088476067885,-0.002981158598044799
咬牙切齿,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,28.52,0.0024,0.0024,0.0016,0.0024,-0.10240845956476008,-0.0034557706956805795
婉紧接着,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,30.9,0.0029,0.0,0.0006,0.0035,2.277591777119639,-0.005462692380156686
喜笑着,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,2,睿智型,15.26,0.0099,0.0,0.0,0.0025,-13.362408659709413,-0.007615620800009358
太自信地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,2,睿智型,21.23,0.0101,0.0,0.0034,0.0068,-7.392408874856692,-0.006552150285773653
春绵点头,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,23.96,0.0,0.0016,0.0016,0.0032,-4.66240804186074,-0.0050034394924566425
回手转而,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.68,0.0052,0.001,0.0021,0.0052,-1.9424085742301394,-0.004957369464824576
婉适时地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,24.55,0.0034,0.0034,0.0007,0.0068,-4.0724087463036724,-0.0029197739376884985
神凶狠地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,23.12,0.0078,0.0016,0.0016,0.0063,-5.502408895356297,-0.004784390655638024
不疾不徐,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,23.6,0.0068,0.0011,0.0,0.0,-5.02240858267745,-0.0054296807483207666
大夫如是,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,30.53,0.0023,0.0012,0.0006,0.0029,1.9075916820281549,-0.004355584708424971
真的对她,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.84,0.0019,0.0006,0.0013,0.0077,-1.7824082399926944,-0.005391569114438899
对沈婆子,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,32.6,0.0017,0.0006,0.0017,0.0078,3.977591684732541,-0.004522174046931659
笑着,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,32.07,0.0016,0.0005,0.001,0.0088,3.4475916946649043,-0.0046890168019364025
得讨好地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,2,睿智型,18.67,0.0114,0.0057,0.0,0.0057,-9.952409779064698,-0.0012737016247571283
直气壮地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,33.1,0.0017,0.0022,0.0011,0.0039,4.477591531740526,-0.002957101536842554
婉苦恼地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.28,0.004,0.0013,0.002,0.0013,-2.342408399108031,-0.004860787092700951
对她,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,30.55,0.0028,0.0006,0.0022,0.0006,1.927591772985366,-0.004972681461543762
乞丐缓缓,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,27.18,0.0064,0.0032,0.0032,0.0,-1.4424089066134052,-0.0027626257321529974
接着,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,28.48,0.0047,0.0016,0.0024,0.0055,-0.1424086473675743,-0.004091897136124763
分客气的,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,29.33,0.0036,0.0,0.0036,0.0091,0.7075916031335403,-0.005490594533379648
认真,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,28.29,0.0016,0.0016,0.0,0.0,-0.3324082020685495,-0.004400372563746201
连忙,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,31.11,0.0028,0.0,0.0028,0.005,2.4875917503533103,-0.005366082259497778
玉婉如是,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,23.67,0.0076,0.0007,0.0007,0.0021,-4.952408654933858,-0.005727867785071501
后小声地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,30.0,0.0108,0.0,0.0036,0.0072,1.37759090214443,-0.005193343698428373
气淡淡地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.14,0.0,0.0,0.0052,0.0,-2.4824077662407547,-0.00630721693485138
子也顺势,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,28.22,0.0079,0.0006,0.0018,0.0043,-0.4024087951286752,-0.005060121344698159
不改色地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,28.17,0.0056,0.0028,0.0017,0.0017,-0.45240882261225934,-0.0030166292765943428
便首先,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,23.29,0.0052,0.0,0.0,0.0039,-5.332408343370044,-0.006529211690191604
随即,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,23.38,0.0062,0.0,0.0,0.0015,-5.242408391182757,-0.006543485866004215
由衷的,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,25.22,0.0083,0.0,0.0,0.0,-3.4024086004371377,-0.0062332880144207806
耳边小声,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,22.81,0.0086,0.0,0.0016,0.0008,-5.812408609536259,-0.00654412567429789
门见山地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,34.39,0.005,0.0,0.0,0.0017,5.767591547684017,-0.004919612092975804
是期盼地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,33.71,0.0012,0.0,0.0,0.0036,5.087591902162448,-0.0051025499443397414
对苏玉婉,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,33.96,0.0021,0.001,0.0031,0.0036,5.337591661215765,-0.003993402303114706
对她二人,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,23.73,0.0079,0.0,0.0,0.0,-4.892408535447469,-0.006471509143830224
玉婉解释,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.55,0.0,0.0,0.0,0.0,-2.0724077757523,-0.006315548286973946
宁如实回,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,24.96,0.0028,0.0021,0.0014,0.0021,-3.662408391631221,-0.0042888957664347326
憾的口吻,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,27.94,0.0038,0.0006,0.0013,0.0032,-0.6824083473184679,-0.005277109569131458
边又转而,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,34.98,0.0016,0.0016,0.0021,0.0067,6.3575915351557235,-0.0031908138285114468
连忙对他,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.62,0.0035,0.0053,0.0006,0.0018,-2.002408953278799,-0.0008365718914162962
官差冷声,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,29.95,0.0065,0.0022,0.0016,0.0016,1.3275911470594153,-0.0033209880715090578
又接着,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,25.36,0.0007,0.0007,0.002,0.002,-3.2624079758149023,-0.005693218918967929
又听苏晟,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,30.67,0.0052,0.0,0.0,0.0026,2.0475915668672577,-0.005450319051343675
里正如实,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,28.69,0.0016,0.0,0.0016,0.0049,0.06759191367989459,-0.0057905026721978715
对二人,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,28.65,0.0052,0.0006,0.0006,0.0065,0.027591421549722384,-0.0050467183502197295
继而又,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,27.52,0.0052,0.0,0.0007,0.0022,-1.1024083723094655,-0.00592601100289027
便对他,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,5,高冷型,40.75,0.0015,0.0,0.0,0.0,12.127591840628977,-0.004124013530293327
笑嘻嘻地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,33.36,0.002,0.0,0.001,0.002,4.737591863900921,-0.005155838392404677
一口气后,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,32.73,0.0043,0.0009,0.0,0.0009,4.107591532424447,-0.0043152165632582146
激动地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,27.87,0.0034,0.0011,0.0023,0.0011,-0.7524083295968893,-0.004842469039944661
子便如实,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,31.89,0.0045,0.0006,0.0006,0.0017,3.267591551514773,-0.004705992454310622
对宁嬷嬷,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,28.37,0.0017,0.0,0.0017,0.0084,-0.252408172364067,-0.00574370437851779
在她耳边,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,29.21,0.003,0.0,0.001,0.004,0.5875917830104029,-0.005695736388007628
苏玉婉笑,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,31.29,0.0027,0.0,0.0009,0.0098,2.667591645359746,-0.005244171582305044
媛却摇头,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,5,高冷型,44.2,0.0088,0.0,0.0,0.0088,15.57759083634652,-0.0031283190873585267
低声,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,32.22,0.009,0.0013,0.0039,0.0026,3.5975909655036666,-0.0037359395783998564
气微微带,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,27.81,0.0036,0.0,0.0007,0.0043,-0.8124082625406324,-0.005882634536488255
勉强笑着,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,24.62,0.0032,0.0006,0.0026,0.0019,-4.002408201372493,-0.00581398754807009
苏夫人却,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,34.82,0.0038,0.0,0.0013,0.0,6.197591703158654,-0.004921990081233438
婉不答反,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,30.52,0.0038,0.0011,0.0011,0.0032,1.8975915372511167,-0.004391412747216677
听萧霖烨,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.66,0.0064,0.0027,0.0011,0.0021,-1.9624088745686805,-0.0033146616231304127
夫人只好,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,32.8,0.0023,0.0012,0.0012,0.0023,4.177591659384685,-0.004020800217078754
听余婆子,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,35.97,0.005,0.0014,0.0027,0.0009,7.347591336488765,-0.0032670767755228628
的眼睛处,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,28.07,0.0042,0.0006,0.0018,0.0066,-0.552408468724856,-0.005149445622868319
听苏锦怀,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,29.25,0.0027,0.0,0.0,0.008,0.6275917197144452,-0.005610238266493737
书对姜媛,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,27.28,0.0034,0.0006,0.0,0.0011,-1.3424082478642028,-0.0054619207876029155
而后,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,30.09,0.0022,0.0,0.0005,0.0038,1.4675918546453914,-0.005602243688875737
坦然,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,28.38,0.008,0.0,0.0032,0.0064,-0.2424087677256388,-0.005558945781676068
重心长地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,33.23,0.0026,0.0,0.0021,0.0056,4.607591722020263,-0.005047301597587305
她便,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,29.3,0.0027,0.0005,0.0011,0.0032,0.6775917573199202,-0.005212178179983455
挑眉,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,26.2,0.0039,0.0013,0.002,0.002,-2.422408403832357,-0.004858196712301616
与苏锦怀,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,5,高冷型,38.65,0.0019,0.0,0.0029,0.001,10.027591812376198,-0.004362024907119013
长地跟她,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,27.17,0.0058,0.0,0.0058,0.0,-1.4524083740273745,-0.005946291744385546
阿贵笑着,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,33.77,0.0019,0.0,0.0026,0.0038,5.147591826605176,-0.0050294353590098735
些担心地,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,35.31,0.0042,0.001,0.0026,0.001,6.687591485135965,-0.0037921813372537583
勿公公大,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,0,冰山型,29.9,0.002,0.002,0.0,0.0007,1.2775916560446987,-0.0037264092984742123
有宫人大,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,25.26,0.0041,0.0014,0.0007,0.002,-3.3624084243495673,-0.004910708300601928
支支吾吾,584db104ea2a1925,中状元就休妻，凤凰男我不伺候了,7,温柔型,27.16,0.0041,0.0007,0.0007,0.0028,-1.462408370978622,-0.005302973650243024
